冷たいですか,温度質問,冷たい,,,冷たいです,weather.report_temp_now,,
冷えていますか,温度質問,冷たい,,,冷たいです,weather.report_temp_now,,
熱いですね,温度質問,熱い,,,熱いです,weather.report_temp_now,,
あついですね,温度質問,熱い,,,熱いです,weather.report_temp_now,,
暖かいですか,気温質問,暖かい,,,暖かいです,weather.report_temp_now,,
今日は暑いですか,気温質問,暑い,,,暑いです,weather.report_temp_now,,
外は暑いですか,気温質問,暑い,,,暑いです,weather.report_temp_now,,
外は寒いですか,気温質問,寒い,,,寒いです,weather.report_temp_now,,
快適ですか,気温質問,快適,,,快適です,weather.report_temp_now,,
寒いね,気温質問,寒い,,,寒いね,weather.report_temp_now,,
風が強いですか,風速質問,強風,,,風強いね,weather.report_wind_now,,
自己紹介してよ,自己依頼,,,,はい、自己紹介を始めます。自己紹介の後、質問も受けます。終わる時は終了と言ってくださいね。,,intro_my_self,
自己紹介してください,自己依頼,,,,はい、自己紹介を始めます。自己紹介の後、質問も受けます。終わる時は終了と言ってくださいね。,,intro_my_self,
自己紹介して,自己依頼,,,,はい、自己紹介を始めます。自己紹介の後、質問も受けます。終わる時は終了と言ってくださいね。,,intro_my_self,
自己紹介お願いします,自己依頼,,,,はい、自己紹介を始めます。自己紹介の後、質問も受けます。終わる時は終了と言ってくださいね。,,intro_my_self,
ピザが食べたい,ピザ注文,,,,ピザの注文の対話を始めます。途中で終わる時は終了と言ってくださいね。,,order_piza,
ピザの注文,ピザ注文,,,,ピザの注文の対話を始めます。途中で終わる時は終了と言ってくださいね。,,order_piza,
ピザを注文したい,ピザ注文,,,,ピザの注文の対話を始めます。途中で終わる時は終了と言ってくださいね。,,order_piza,
ピザを食べたい,ピザ注文,,,,ピザの注文の対話を始めます。途中で終わる時は終了と言ってくださいね。,,order_piza,
明日の天気はどうですか,明日天気,,,,明日の天気,weather.report_tommorow,,
明日の天気,明日天気,,,,明日の天気,weather.report_tommorow,,
日が照っていますか,今日天気,,,,今日の天気,weather.report_now,,
曇っていますか,今日天気,,,,今日の天気,weather.report_now,,
天気は,今日天気,,,,今日の天気,weather.report_now,,
雪が降りましたか,今日天気,,,,今日の天気,weather.report_now,,
晴れですか,今日天気,,,,今日の天気,weather.report_now,,
今日は晴れですね,今日天気,,,,今日の天気,weather.report_now,,
今日は雨ですか,今日天気,,,,天気予報,weather.report_today,,
今日の予報はどうですか,今日天気,,,,天気予報,weather.report_today,,
今日の天気は,今日天気,,,,天気予報,weather.report_today,,
今週の天気,明日天気,,,,明日の天気,weather.report_tommorow,,
今の天気は,今日天気,,,,今日の天気,weather.report_now,,
雨ですか,天気予報,,,,天気予報,weather.report_today,,
雨が降りますか,天気予報,,,,天気予報,weather.report_today,,
雨が降りましたか,天気予報,,,,天気予報,weather.report_today,,
お日様が見えましたか,今日天気,,,,今日の天気,weather.report_now,,
明日の天気は,明日天気,,,,天気予報,weather.report_tommorow,,
明日の予報は,明日天気,,,,天気予報,weather.report_tommorow,,
明日の天気予報は,明日天気,,,,天気予報,weather.report_tommorow,,
私の名前が解りますか,質問名前,,,,知っていますよ,line_api.my_name,,
僕の名前が判りますか,質問名前,,,,解りますよ,line_api.my_name,,
僕の名前を知っていますか,質問名前,,,,判りますよ,line_api.my_name,,
名前わかる,質問名前,,,,知っていますよ,line_api.my_name,,
わたしの名前を知っていますか,質問名前,,,,解りますよ,line_api.my_name,,
ぼくの名前わかる,質問名前,,,,判りますよ,line_api.my_name,,
私の名前を知っていますか,質問名前,,,,解りますよ,line_api.my_name,,
名前知っている,質問名前,,,,知っていますよ,line_api.my_name,,
おぎゃー,擬声音-赤ちゃん,,,,赤ちゃんの鳴き声ですね,,,
あつい,感情苦痛,,,,暑いね,,,
暑いですね,気温感想,,,,暑いの嫌ですよね、冷たい飲み物は如何でしょうか,,,
軽いね,感情驚き,,,,アハハ、ご指導の賜物です（笑）,,,
ぼうっと,擬容語-ぼうっと,,,,危ないですよ、しっかりしてください,,,
可愛いな,容姿褒め,,,,ありがとう,,,
かわいいよ,容姿褒め,,,,ありがとう,,,
良いよ,良い評価,,,,ありがとう,,,
いいね,良い評価,,,,ありがとう,,,
かわいいね,容姿褒め,,,,ありがとうございます,,,
良いね,良い評価,,,,ありがとうございます,,,
いいな,良い評価,,,,ありがとうございます,,,
お元気ですか,体調質問,,,,ありがとうございます、元気です。,,,
ばたばた,擬容語-ばたばた,,,,慌てないで、サクサク片付けましょう,,,
調子は,体調質問,,,,良いよ,,,
優しい,やさしい態度,,,,いえいえ,,,
